uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:29"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-03-26 16:57:33"") OR ([ds6w:modified]>""2010-04-20 16:50:47"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:29, where the type is either Post, Idea, or Question, or the type is WikitreePage with visibility set to 1, and the modification date is before March 26, 2009 16:57:33 or after April 20, 2010 16:50:47."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AAyxHWSLRnGO6ZiZ1tWeAg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-09-06 08:12:15"") OR ([ds6w:modified]>""2024-05-20 17:30:50"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:AAyxHWSLRnGO6ZiZ1tWeAg, which are either of type swym:Post, swym:Idea, or swym:Question or are wiki pages with visibility 1, and were modified before September 6, 2023, or after May 20, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:G4RhJIC0QdK9THCiOvt2IA"")","""Retrieve resources with the specified resource UID swym:215dsi0708:DSEXT001:community:G4RhJIC0QdK9THCiOvt2IA."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:14NItnUKRrSmRkmI7UbaGg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-01 14:17:25"") OR ([ds6w:modified]>""2024-05-17 13:08:42"")))","""Retrieve posts, ideas, or questions from 'wym:215dsi0708:DSEXT001:community:14NItnUKRrSmRkmI7UbaGg' community that are either publicly visible wiki pages or of type 'Post', 'Idea', or 'Question', and were modified before June 1, 2020 or after May 17, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1830"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:1830."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Hk4ge6a8Ryy-0j8-rr3H9Q"")","""Retrieve the resource with the UID swym:215dsi0708:DSEXT001:community:Hk4ge6a8Ryy-0j8-rr3H9Q."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:okxXdoosTPeyiPiENd6imQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-23 19:26:44"") OR ([ds6w:modified]>""2024-05-17 22:37:22"")))","""Give me all documents in container 'wym:215dsi0708:DSEXT001:community:okxXdoosTPeyiPiENd6imQ' that are of type 'Post', 'Idea', 'Question' or 'WikitreePage' with wiki visibility set to 1, and created before January 23, 2020, 19:26:44 or after May 17, 2024, 22:37:22."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IAtt4z0tRg-2jE3ncsV_xA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-09-03 11:30:40"") OR ([ds6w:modified]>""2024-05-19 23:20:43"")))","""Retrieve posts, ideas, or questions with container ID swym:215dsi0708:DSEXT001:community:IAtt4z0tRg-2jE3ncsV_xA, that are either of type Post, Idea, or Question, or are Wikitree pages with visibility set to 1, and were modified before September 3, 2020, 11:30:40 AM or after May 19, 2024, 11:20:43 PM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1102"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 14:40:42"") OR ([ds6w:modified]>""2024-05-17 13:32:24"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:1102' that are either type 'wym:Post', 'wym:Idea', 'wym:Question' or 'wym:WikitreePage with visibility 1, and were modified before June 4, 2020 14:40:42 or after May 17, 2024 13:32:24."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1SWnL2CsQn6OZIAnJzh82g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-08-19 02:14:24"") OR ([ds6w:modified]>""2024-05-21 00:55:31"")))","""Retrieve swym:Post, Idea, or Question documents from the container swym:215dsi0708:DSEXT001:community:1SWnL2CsQn6OZIAnJzh82g, or WikitreePage documents with visibility set to 1, modified before 2019-08-19 02:14:24 or after 2024-05-21 00:55:31."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Zh-PSsogQZat5r_0JkcwYg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-09-18 16:09:38"") OR ([ds6w:modified]>""2024-04-26 14:17:59"")))","""Give me posts, ideas, or questions within the community 'Zh-PSsogQZat5r_0JkcwYg' that are either publicly visible wiki pages or have type 'wym:Post', 'wym:Idea', or 'wym:Question, and were modified before September 18, 2019 4:09:38 PM or after April 26, 2024 2:17:59 PM."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:203"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:203""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wnISBQBhQVCij4Ab-b3zAw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-03-26 18:41:43"") OR ([ds6w:modified]>""2024-05-20 16:39:12"")))","""Retrieve documents in container swym:215dsi0708:DSEXT001:community:wnISBQBhQVCij4Ab-b3zAw, with type Post, Idea, or Question, or if it's a WikitreePage with visibility 1, and modified before March 26, 2018 18:41:43 or after May 20, 2024 16:39:12."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:746"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-09-11 14:32:04"") OR ([ds6w:modified]>""2024-05-20 08:26:08"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:746, which are of type Post, Idea, Question, or WikitreePage with visibility 1, and were modified before September 11, 2012 at 14:32:04 or after May 20, 2024 at 08:26:08."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wsuffRBQR5qFrEdDcM0ZJg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-17 20:43:09"") OR ([ds6w:modified]>""2024-05-20 15:28:12"")))","""Retrieve posts, ideas, or questions in the 'wym:215dsi0708:DSEXT001:community:wsuffRBQR5qFrEdDcM0ZJg' container, with a type of 'wym:Post', 'wym:Idea', or 'wym:Question', or a type of 'wym:WikitreePage' with visibility 1, modified before 2019-11-17 20:43:09 or after 2024-05-20 15:28:12."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:HaQ4nhwRRhGYWNu3chlf9g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-04-15 03:50:48"") OR ([ds6w:modified]>""2022-04-06 15:28:13"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:HaQ4nhwRRhGYWNu3chlf9g' that are either 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility '1', and created before '2020-04-15 03:50:48' or after '2022-04-06 15:28:13'."""
"[ds6w:resourceUid]:(""iam:ege1"" BOR ""e672105b-505b-44e8-93b3-dd7770ac0bd0"" BOR ""iam:b64"")","Retrieve documents with resourceUid equal to iam:ege1, e672105b-505b-44e8-93b3-dd7770ac0bd0, or iam:b64."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2ej4JGK3QSuTY2L7_KQZOg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-30 19:55:46"") OR ([ds6w:modified]>""2024-05-20 06:00:31"")))","""Retrieve swym:Post, Idea, or Question documents from the 'wym:215dsi0708:DSEXT001:community:2ej4JGK3QSuTY2L7_KQZOg' container that are either swym:WikitreePage with visibility 1 or match the type Post, Idea, or Question, and were modified before March 30, 2022, 19:55:46 or after May 20, 2024, 06:00:31."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Fblo20k3R1OFF5CKAibV1Q"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:Fblo20k3R1OFF5CKAibV1Q""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:kZkQjAqLTKeZYYcbbLZwHg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-06 11:40:34"") OR ([ds6w:modified]>""2024-05-20 11:24:01"")))","""Retrieve swym:Post, Idea, or Question documents from the container 'wym:215dsi0708:DSEXT001:community:kZkQjAqLTKeZYYcbbLZwHg' that are either visible in the wiki or have been modified between October 6, 2022, and May 20, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:SUGP42vtSt-wD82WsTV06w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-01-31 11:01:32"") OR ([ds6w:modified]>""2024-04-29 11:40:09"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:SUGP42vtSt-wD82WsTV06w' that are type 'Post', 'Idea', or 'Question', or are of type 'WikitreePage' with visibility 1, and were modified before 2019-01-31 11:01:32 or after 2024-04-29 11:40:09."""
"([ds6w:what]=""NewsCAS"")","Retrieve documents whose ""what"" attribute equals ""NewsCAS""."
[ds6w:resourceUid]:(96d9b7ca-2384-41d1-ad22-8e698ff75910 OR 651f3736-020e-4097-8dcf-c32c6c202f50 OR a22cf33f-0cc5-4cdc-a0e1-6389b4a2ecfd OR 180a6c22-bd1a-4eaa-9892-a9279fe0a8c1),"Find resources with the following UIDs: 96d9b7ca-2384-41d1-ad22-8e698ff75910, 651f3736-020e-4097-8dcf-c32c6c202f50, a22cf33f-0cc5-4cdc-a0e1-6389b4a2ecfd, 180a6c22-bd1a-4eaa-9892-a9279fe0a8c1."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:CsuzNSzCQQOUScUSOg9qCQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-20 19:23:30"") OR ([ds6w:modified]>""2024-05-15 14:12:03"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:CsuzNSzCQQOUScUSOg9qCQ' that are either type 'Post', 'Idea', or 'Question', or are 'WikitreePage' with visibility set to 1 and modified date before January 20, 2021, or after May 15, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1875"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-06-03 13:09:07"") OR ([ds6w:modified]>""2024-05-15 19:51:55"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:1875' that are either posts, ideas, or questions or Wikitree pages with visibility 1, and were modified before June 3, 2016 13:09:07 or after May 15, 2024 19:51:55."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:484COUTnQDqgfQUoFd3TiQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-10-04 11:35:13"") OR ([ds6w:modified]>""2024-05-21 02:45:23"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:484COUTnQDqgfQUoFd3TiQ' that are of type 'wym:Post', 'wym:Idea', 'wym:Question' or 'wym:WikitreePage' with visibility 1, and were modified between '2021-10-04 11:35:13' and '2024-05-21 02:45:23'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:wT6ckS7gR0OYtujtNbFdAg"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:wT6ckS7gR0OYtujtNbFdAg."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:9ANBAhokQyS3EWlD4rzsAw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-01-04 23:46:32"") OR ([ds6w:modified]>""2024-05-10 22:33:55"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:9ANBAhokQyS3EWlD4rzsAw, where the document type is either 'Post', 'Idea', or 'Question', or it's a 'WikitreePage' with visibility set to 1. Filter the results by documents modified before January 4, 2023, 23:46:32 or after May 10, 2024, 22:33:55."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:a-0W7FjdRimE3EOn6_8H3g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-06 13:10:22"") OR ([ds6w:modified]>""2024-05-17 13:53:55"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:a-0W7FjdRimE3EOn6_8H3g that are of type Post, Idea, or Question, or are WikiTree pages with visibility 1, and were modified before March 6, 2024 13:10:22 or after May 17, 2024 13:53:55."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:492"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-10-06 08:17:00"") OR ([ds6w:modified]>""2024-05-10 12:02:07"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:492' that are either 'Post', 'Idea', or 'Question' types or 'WikitreePage' type with visibility 1, and were modified before '2011-10-06 08:17:00' or after '2024-05-10 12:02:07'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:_W4b8LlpQAqlN9eAM50lhQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-09-01 20:50:41"") OR ([ds6w:modified]>""2024-05-09 17:48:21"")))","""Retrieve documents from the swym:215dsi0708:DSEXT001:community:_W4b8LlpQAqlN9eAM50lhQ container that are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and were modified between 2023-09-01 20:50:41 and 2024-05-09 17:48:21."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:F_1bPrxvTwGHEmy-V8uRgw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-09-14 10:05:02"") OR ([ds6w:modified]>""2024-05-17 12:06:11"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:F_1bPrxvTwGHEmy-V8uRgw' that are either posts, ideas, or questions, or are wiki pages with visibility 1, and were modified between September 14, 2021 10:05:02 and May 17, 2024 12:06:11."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:0ARhVgRsQ2GuAyZy5PqREQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-02-14 12:00:07"") OR ([ds6w:modified]>""2022-10-25 13:12:23"")))","""Retrieve posts, ideas, questions, or Wikitree pages from the community 0ARhVgRsQ2GuAyZy5PqREQ, with a container UID swym:215dsi0708:DSEXT001, that are either visible or modified between 2022-02-14 12:00:07 and 2022-10-25 13:12:23."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:uzcTLnz3Roawkk07t3kiSA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-06-20 12:33:45"") OR ([ds6w:modified]>""2022-12-16 18:06:52"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:uzcTLnz3Roawkk07t3kiSA, which are either posts, ideas, or questions, or are Wikitree pages with visibility 1, and were modified between 2022-06-20 12:33:45 and 2022-12-16 18:06:52."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8WGUA8ofRAe840BAlMyUew"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-10-09 13:26:16"") OR ([ds6w:modified]>""2024-05-17 08:28:58"")))","""Retrieve documents from the container swym:215dsi0708:DSEXT001:community:8WGUA8ofRAe840BAlMyUew, which are either of type Post, Idea, or Question, or are Wikitree pages with visibility 1, and were modified before October 9th, 2020, 13:26:16, or after May 17th, 2024, 08:28:58."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:qlVDQQQGQ0iQSds1_4SaNQ"")","""Retrieve documents with resourceUid equal to swym:215dsi0708:DSEXT001:community:qlVDQQQGQ0iQSds1_4SaNQ."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AawlvDrZSlOTJgfF_OI5sA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-02-02 16:47:32"") OR ([ds6w:modified]>""2024-05-16 15:34:08"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:AawlvDrZSlOTJgfF_OI5sA that are either posts, ideas, or questions, or are wiki pages with visibility set to 1, and were modified before February 2, 2023 16:47:32 or after May 16, 2024 15:34:08."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Gwe0kaItQOeHTRB9lY5Kow"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-06-03 15:07:19"") OR ([ds6w:modified]>""2024-05-16 08:55:47"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:Gwe0kaItQOeHTRB9lY5Kow' that are either of type 'Post', 'Idea', or 'Question' or are of type 'WikitreePage' with visibility set to 1, and were modified between June 3, 2019, 3:07:19 PM and May 16, 2024, 8:55:47 AM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:EyOYCEgyTruZHcr_uFAkUg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-02-08 14:55:25"") OR ([ds6w:modified]>""2024-05-20 06:41:58"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:EyOYCEgyTruZHcr_uFAkUg' that are either of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are of type 'wym:WikitreePage' with visibility set to 1, and were modified before February 8, 2021, 14:55:25 or after May 20, 2024, 06:41:58."""
"[ds6w:modified] >= ""2024-05-21T05:49:23Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Retrieve documents modified on or after May 21, 2024, 05:49:23 AM and of type DriveFile or DriveFolder."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:sPJBEy7TQLOEZtl_IeHK8Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-09-19 09:03:22"") OR ([ds6w:modified]>""2020-02-06 13:43:49"")))","""Retrieve documents from the community 'wym:215dsi0708:DSEXT001' that are either posts, ideas, or questions, or are Wikitree pages with visibility set to 1, and were modified before September 19, 2019 09:03:22 or after February 6, 2020 13:43:49."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2447"")","""Retrieve resources with the resource UID matching 'wym:215dsi0708:DSEXT001:community:2447'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:-uXolgi_QambXvITcU9q6Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-01 02:44:27"") OR ([ds6w:modified]>""2024-05-20 15:07:35"")))","""Retrieve documents in container 'wym:215dsi0708:DSEXT001:community' that are of type 'Post', 'Idea', or 'Question' or are 'WikitreePage' with wiki visibility set to 1, and were modified between 2020-05-01 02:44:27 and 2024-05-20 15:07:35."""
"[ds6w:resourceUid]:(""d0e444bb-650d-4377-b41f-c2e4c5399a50"" BOR ""iam:iew"" BOR ""iam:akr6"" BOR ""f56541c5-88b9-4136-a900-cf5cb38d49e7"" BOR ""f888db16-deaf-4688-87b2-1cbd9f3670f4"")",Retrieve resources with unique ID d0e444bb-650d-4377-b41f-c2e4c5399a50 or iam:iew or iam:akr6 or f56541c5-88b9-4136-a900-cf5cb38d49e7 or f888db16-deaf-4688-87b2-1cbd9f3670f4.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Y_LO5a8kRHO7lvMaAcb4sQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-17 15:13:13"") OR ([ds6w:modified]>""2024-05-06 10:13:29"")))","""Retrieve posts, ideas, questions, and Wikitree pages from the 'wym:215dsi0708:DSEXT001:community:Y_LO5a8kRHO7lvMaAcb4sQ' container, with a type of 'Post', 'Idea', 'Question', or 'WikitreePage', and visibility of '1', and modified date before June 17, 2020 15:13:13 or after May 6, 2024 10:13:29."""
